Day,Month,Year,Price,Open,High,Low,Nifty Vol,Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilVolume,OilChg,FII_BUY,FII_SELL,FII_NET,DII_BUY,DII_SELL,DII_NET,Nifty_PE
4,1,2021,14132.9,14104.35,14147.95,13953.75,495000,0.0082,20.03,19.56,21.0275,19.335,0.024,5.858,5.904,5.905,5.858,-0.0068,73.07,73.106,73.134,72.83,-0.0007,47.62,48.4,49.83,47.18,528.53,-0.0185,5331.17,3487.95,1843.22,4575.57,5290.78,-715.21,38.87
1,1,2021,14018.5,13996.1,14049.85,13991.35,258090,0.0026,19.56,21.095,21.3325,19.2625,-0.0728,5.898,5.905,5.905,5.888,0.0007,73.12,73.1,73.128,73.022,0.0011,48.07,48.375,49.205,47.475,355.21,-0.008,1072.54,566.33,506.21,2505.67,2436.27,69.4,38.55
31,12,2020,13981.75,13970,14024.85,13936.45,452410,0,21.095,21.11,21.505,19.19,-0.0007,5.894,5.905,5.905,5.887,-0.0008,73.036,73.195,73.243,72.951,-0.0012,48.52,48.35,48.58,47.77,181.89,0.0025,6855.31,5719.72,1135.59,4209.73,4467.37,-257.64,38.45
30,12,2020,13981.95,13980.9,13997,13864.95,380680,0.0035,21.11,20.79,21.5875,20.79,0.0154,5.899,5.933,5.933,5.899,-0.0047,73.127,73.37,73.398,73.135,-0.0036,48.4,48.13,48.66,47.61,266.96,0.0083,5345.63,3521.11,1824.52,3372.43,3959.86,-587.43,38.45
29,12,2020,13932.6,13910.35,13967.6,13859.9,439590,0.0043,20.79,20.4275,21.2125,17.6275,0.0177,5.927,5.935,5.935,5.924,0.0003,73.39,73.545,73.545,73.313,-0.0021,48,47.72,48.35,47.68,213.78,0.008,5426.77,3077.24,2349.53,2386.77,4397.27,-2010.5,38.31
28,12,2020,13873.2,13815.15,13885.3,13811.55,403630,0.009,20.4275,19.9675,21.0225,18.5975,0.023,5.925,5.918,5.928,5.918,-0.0007,73.546,73.558,73.613,73.457,0.0001,47.62,48.23,48.96,47.5,238.46,-0.0126,3456.27,1867.34,1588.93,2714.07,4100.62,-1386.55,38.15
24,12,2020,13749.25,13672.15,13771.75,13626.9,471370,0.0109,19.9675,20.495,20.9525,15.645,-0.0257,5.929,5.973,5.981,5.929,-0.0035,73.54,73.8,73.84,73.506,-0.0031,48.23,48.09,48.62,47.56,167.39,0.0023,5316.24,4090.55,1225.69,3456.22,5354.14,-1897.92,37.81
23,12,2020,13601.1,13473.5,13619.45,13432.2,458650,0.01,20.495,21.985,22.0825,19.395,-0.0678,5.95,5.951,5.953,5.944,-0.0002,73.77,73.905,73.905,73.654,-0.0011,48.12,46.79,48.5,46.16,344.31,0.0234,5365.66,4829.53,536.13,4040.67,5367.59,-1326.92,37.40
22,12,2020,13466.3,13373.65,13492.05,13192.9,696200,0.0103,21.985,23.19,24.48,16.5925,-0.052,5.951,5.966,5.966,5.939,-0.001,73.851,73.94,73.95,73.802,-0.0024,47.02,47.93,47.96,46.6,295.74,-0.0151,6616.43,5463.43,1153,5205.19,5866.7,-661.51,37.03
21,12,2020,13328.4,13741.9,13777.5,13131.45,687260,-0.0314,23.19,18.6225,23.68,18.6225,0.2453,5.957,5.962,5.974,5.952,-0.0003,74.026,73.575,74.104,73.575,0.0062,47.74,48.54,48.61,46.18,27.96,-0.0277,6595.73,6919.28,-323.55,5948.66,5462.54,486.12,36.65
18,12,2020,13760.55,13764.4,13772.85,13658.6,519390,0.0014,18.6225,19.1575,19.4925,14.555,-0.0279,5.959,5.952,5.979,5.95,0.0012,73.57,73.53,73.588,73.475,0.0007,49.1,48.43,49.28,48.1,83.71,0.0153,14649.69,11928.74,2720.95,4224.56,6649.17,-2424.61,37.84
17,12,2020,13740.7,13713.55,13773.25,13673.55,416010,0.0042,19.1575,19.2,21.6225,14.0525,-0.0022,5.952,5.955,5.955,5.938,0.0013,73.52,73.6,73.635,73.372,-0.0015,48.36,47.85,48.59,47.81,96.54,0.0113,8609.38,6254.13,2355.25,3125.72,5620.08,-2494.36,37.79
16,12,2020,13682.7,13663.1,13692.35,13606.45,462150,0.0085,19.2,19.345,19.3975,18.6075,-0.0075,5.944,5.948,5.953,5.94,0.0005,73.63,73.532,73.66,73.459,0.001,47.82,47.6,47.94,47.17,275.33,0.0042,8209.33,6227.56,1981.77,3748.65,5467.1,-1718.45,37.63
15,12,2020,13567.85,13547.2,13589.65,13447.05,497600,0.0007,19.345,19.4025,19.8275,15.6925,-0.003,5.941,5.926,5.949,5.923,-0.0008,73.556,73.674,73.685,73.542,-0.001,47.62,46.99,47.73,46.54,311.17,0.0134,8612.92,6128.83,2484.09,3564.69,6231.48,-2666.79,37.31
14,12,2020,13558.15,13571.45,13597.5,13472.45,558390,0.0033,19.4025,18.79,19.6425,15.3275,0.0326,5.946,5.97,5.97,5.935,-0.0017,73.63,73.738,73.738,73.45,-0.0014,46.99,46.73,47.44,45.69,403.54,0.009,7589.88,5325.5,2264.38,3813.97,5535.08,-1721.11,37.28
11,12,2020,13513.85,13512.3,13579.35,13402.85,787710,0.0026,18.79,18.7125,19.285,17.3625,0.0041,5.956,5.943,5.96,5.92,0.0068,73.736,73.73,73.817,73.535,-0.0001,46.57,46.97,47.29,46.34,367.31,-0.0045,10402.09,6206.66,4195.43,3726.16,6085.16,-2359,37.16
10,12,2020,13478.3,13488.5,13503.55,13399.3,553400,-0.0038,18.7125,18.92,19.385,17.4225,-0.011,5.916,5.913,5.918,5.898,-0.0002,73.74,73.73,73.782,73.625,0.0003,46.78,45.69,47.74,45.52,447.53,0.0277,7663.53,5403.55,2259.98,3390.71,5665.93,-2275.22,37.06
9,12,2020,13529.1,13458.1,13548.9,13449.6,502610,0.0102,18.92,18.6175,19.63,16.22,0.0162,5.917,5.947,5.951,5.907,-0.0037,73.72,73.712,73.73,73.515,0,45.52,45.6,46.24,44.95,434.98,-0.0018,9574.48,6010.25,3564.23,3834.91,6328.01,-2493.1,37.20
8,12,2020,13392.95,13393.85,13435.45,13311.05,543170,0.0028,18.6175,18.025,18.795,16.2675,0.0329,5.939,5.932,5.942,5.918,0.0025,73.72,73.81,73.846,73.511,-0.0014,45.6,45.66,45.93,45.14,332.64,-0.0035,8473.34,5563.74,2909.6,3912.38,6553.31,-2640.93,36.83
7,12,2020,13355.75,13264.85,13366.65,13241.95,591720,0.0073,18.025,18.0275,18.315,16.95,-0.0001,5.924,5.908,5.929,5.906,0.0046,73.826,73.805,73.977,73.69,0.0009,45.76,46.15,46.54,45.36,348.87,-0.0108,8796.14,5004.08,3792.06,4287.14,7054.23,-2767.09,36.73
4,12,2020,13258.55,13177.4,13280.05,13152.85,640510,0.0095,18.0275,19,19.035,16.53,-0.0512,5.897,5.933,5.933,5.888,-0.0059,73.757,73.865,73.865,73.647,-0.0014,46.26,45.64,46.68,45.61,335.45,0.0136,9863.79,6894.2,2969.59,4062.46,6034.06,-1971.6,36.46
3,12,2020,13133.9,13215.3,13216.6,13107.9,713690,0.0015,19,19.9075,19.9075,17.7225,-0.0456,5.932,5.933,5.935,5.909,0.002,73.86,73.695,73.988,73.67,0.0014,45.64,44.99,45.84,44.66,350.77,0.008,14473.15,10835.73,3637.42,4693.02,6132.76,-1439.74,36.12
2,12,2020,13113.75,13121.4,13128.5,12983.55,717710,0.0004,19.9075,20.1825,20.5525,17.9625,-0.0136,5.92,5.951,5.951,5.919,-0.0017,73.76,73.5,73.836,73.402,0.0038,45.28,44.38,45.92,43.92,368.85,0.0164,9295.46,8938.11,357.35,3377.19,5013.16,-1635.97,36.06
1,12,2020,13109.05,13062.2,13128.4,12962.8,583630,0.0108,20.1825,19.8175,21.235,19.245,0.0184,5.93,5.919,5.93,5.909,0.0032,73.482,74.025,74.025,73.445,-0.0069,44.55,45.08,45.7,44.12,314.92,-0.0174,11337.25,8095.25,3242,3644.5,4687.71,-1043.21,36.05
27,11,2020,12968.95,13012.05,13035.3,12914.3,1160000,-0.0014,19.8175,20.0225,21.28,17.625,-0.0102,5.911,5.888,5.916,5.884,0.0066,73.933,73.837,74.116,73.742,0.0014,45.53,45.9,46.09,44.55,365.13,0.0122,74741.85,67028.87,7712.98,4875.77,9844.67,-4968.9,35.66
26,11,2020,12987,12906.45,13018,12790.4,549800,0.01,20.0225,23.1275,23.1275,19.4375,-0.1343,5.872,5.895,5.895,5.869,-0.0022,73.832,73.792,73.913,73.72,0.0009,44.98,45.77,46.09,44.73,0,-0.016,8036.86,6009.55,2027.31,3016.07,6416.17,-3400.1,35.71
25,11,2020,12858.4,13130,13145.85,12833.65,679010,-0.0151,23.1275,21.0575,23.495,20.68,0.0983,5.885,5.902,5.902,5.876,0.0009,73.769,73.97,74.017,73.743,-0.0042,45.71,44.82,46.26,44.73,417.18,0.0178,6931.7,6907.5,24.2,3724.49,5564.82,-1840.33,35.36
24,11,2020,13055.15,13002.6,13079.1,12978,571870,0.01,21.0575,20.7975,22,20.025,0.0125,5.88,5.913,5.913,5.879,-0.0034,74.078,74.244,74.244,73.869,-0.0023,44.91,42.84,45.2,42.82,418.53,0.043,12480.89,7917.71,4563.18,3954.39,6476.5,-2522.11,35.90
23,11,2020,12926.45,12960.3,12968.85,12825.7,633120,0.0052,20.7975,19.6175,20.8625,16.91,0.0602,5.9,5.883,5.903,5.874,0.0039,74.25,74.12,74.277,74.005,0.0019,43.06,42.46,43.36,42.29,300.72,0.0216,12442.96,7704.52,4738.44,3909.28,6853.33,-2944.05,35.55
20,11,2020,12859.05,12813.4,12892.45,12730.25,664000,0.0068,19.6175,19.57,19.8075,16.9975,0.0024,5.877,5.877,5.887,5.871,0.0002,74.11,74.165,74.211,74.056,0.0001,42.15,41.7,42.32,41.51,29.78,0.0098,11000.78,7140,3860.78,2975.8,5844.46,-2868.66,35.36
19,11,2020,12771.7,12839.5,12963,12745.75,768750,-0.0129,19.57,19.12,19.9825,16.325,0.0235,5.876,5.891,5.891,5.873,-0.0003,74.1,74.313,74.349,74.103,-0.0001,41.74,41.61,41.98,41.08,88.14,-0.0019,10852.05,9671.44,1180.61,3162.07,6017.01,-2854.94,35.12
18,11,2020,12938.25,12860.1,12948.85,12819.35,731320,0.005,19.12,19.8025,19.8025,15.72,-0.0345,5.878,5.877,5.881,5.86,0.0002,74.11,74.475,74.53,74.058,-0.0048,41.82,41.35,42.46,41.08,107.01,0.0094,10146.94,7075.01,3071.93,3672.2,6462.05,-2789.85,35.59
17,11,2020,12874.2,12932.5,12934.05,12797.1,707680,0.0121,19.8025,19.13,20.405,18.4025,0.0051,5.877,5.888,5.888,5.866,-0.0002,74.47,74.345,74.635,74.345,0.0013,41.43,41.44,41.69,40.57,243.68,0.0022,14689.87,9784.52,4905.35,3076.21,6905.37,-3829.16,34.93
13,11,2020,12719.95,12659.7,12735.95,12607.7,513950,0.0023,19.7025,20.62,29.525,19.5575,-0.0445,5.878,5.915,5.915,5.875,-0.0042,74.561,74.662,74.725,74.464,-0.0016,40.13,40.94,40.94,40.06,338.19,-0.0241,9389.23,7453.31,1935.92,2265.3,4727.72,-2462.42,34.57
12,11,2020,12690.8,12702.15,12741.15,12624.85,622020,-0.0046,20.62,22.0325,22.0325,19.7875,-0.0641,5.903,5.923,5.923,5.903,0,74.68,74.438,74.76,74.365,0.0032,41.12,41.47,42.19,40.87,401.03,-0.008,10143.06,8628.94,1514.12,3810.02,6049.45,-2239.43,34.48
11,11,2020,12749.15,12680.6,12769.75,12571.1,880480,0.0093,22.0325,21.5775,22.375,18.995,0.0211,5.903,5.936,5.936,5.901,-0.0022,74.439,74.17,74.522,74.17,0.0021,41.45,41.79,43.06,41.32,443.77,0.0022,14549.31,8342.12,6207.19,4578.17,8042.03,-3463.86,34.50
10,11,2020,12631.1,12556.4,12643.9,12475.25,847450,0.0136,21.5775,20.1125,21.845,19.895,0.0728,5.916,5.908,5.918,5.899,0.0068,74.28,73.955,74.478,73.948,0.0034,41.36,39.91,41.84,39.41,457.05,0.0266,14188.59,8561.27,5627.32,6626.38,8935.57,-2309.19,34.18
9,11,2020,12461.05,12399.4,12474.05,12367.35,553450,0.0161,20.1125,20.4975,21.0475,17.58,-0.0188,5.876,5.883,5.886,5.871,0.0009,74.03,73.976,74.175,73.637,0.0008,40.29,37.34,41.33,37.16,622.92,0.0848,9163.22,4614.83,4548.39,3030.65,6066.96,-3036.31,33.62
6,11,2020,12263.55,12156.65,12280.4,12131.85,576840,0.0118,20.4975,20.965,20.965,19.2825,-0.0223,5.871,5.846,5.873,5.837,0.0019,73.974,74.03,74.286,73.86,0.0009,37.14,38.54,38.61,37.06,411.03,-0.0425,9450.25,4580.38,4869.87,2950.98,5889.64,-2938.66,33.09
5,11,2020,12120.3,12062.4,12131.1,12027.6,632460,0.0178,20.965,23.2,23.2,19.99,-0.0963,5.86,5.883,5.883,5.855,-0.0044,73.91,74.317,74.41,73.914,-0.0061,38.79,39.17,39.35,38.27,298.37,-0.0092,9962.68,4594.37,5368.31,3588.71,5796.89,-2208.18,32.84
4,11,2020,11908.5,11783.35,11929.65,11756.4,667290,0.008,23.2,24.24,24.24,20.6725,-0.0429,5.886,5.896,5.896,5.876,-0.002,74.365,74.598,75.015,74.337,-0.0033,39.15,38.15,39.25,37.26,437,0.0396,6302.82,6156.6,146.22,4428.91,4437.04,-8.13,32.27
3,11,2020,11813.5,11734.45,11836.2,11723.3,674300,0.0124,24.24,25.21,25.3325,22.9175,-0.0385,5.898,5.888,5.914,5.888,0.0014,74.61,74.422,74.635,74.247,0.0015,37.66,37.03,38.32,36.57,410.61,0.0231,8481.57,6207.17,2274.4,4316.48,5417.4,-1100.92,31.82
2,11,2020,11669.15,11697.35,11725.65,11557.4,568430,0.0023,25.21,24.7525,25.9175,24.22,0.0185,5.89,5.89,5.896,5.877,0.0015,74.5,74.567,74.567,74.265,-0.0007,36.81,35.24,37.15,33.64,489.2,0.0285,6824.79,6084.18,740.61,3816.19,4350.16,-533.97,31.43
30,10,2020,11642.4,11678.45,11748.95,11535.45,553670,-0.0024,24.7525,24.0225,26.3,21.725,0.0304,5.8855,5.882,5.891,5.8645,0.00265,74.554,74.32,74.712,74.24,0.0025,35.79,36.07,36.6,35.21,388.97,-0.0105,6329.42,7200.3,-870.88,2694.06,2062.95,631.11,31.90
29,10,2020,11670.8,11633.3,11744.15,11606.45,554960,-0.005,24.0225,23.28,24.36,22.2825,0.0319,5.881,5.874,5.886,5.852,0.0038,74.37,74.23,74.533,73.938,0.0026,36.17,37.39,37.76,34.92,568.82,-0.0326,5606.53,6027.48,-420.95,3325.98,3579.39,-253.41,31.56
28,10,2020,11729.6,11922.6,11929.4,11684.85,704020,-0.0134,23.28,22.195,23.465,20.08,0.0489,5.859,5.849,5.862,5.83,0.0022,74.18,73.729,74.271,73.647,0.0076,37.39,38.97,39.01,36.97,489.95,-0.0551,7833.41,8964.39,-1130.98,3843.24,3841.76,1.48,33.94
27,10,2020,11889.4,11807.1,11899.05,11723,616320,0.0103,22.195,22.8325,23.1675,22.1225,-0.0279,5.846,5.849,5.86,5.83,0.0021,73.622,73.938,74.021,73.599,-0.0046,39.57,38.59,39.83,38.51,339.54,0.0262,11020.94,7506.05,3514.89,4310.08,5880.88,-1570.8,34.49
26,10,2020,11767.75,11937.4,11942.85,11711.7,519820,-0.0136,22.8325,21.8275,23.405,21.32,0.046,5.834,5.822,5.846,5.791,-0.0017,73.96,73.842,74.115,73.692,0.0018,38.56,39.69,39.74,38.28,360.18,-0.0324,5323.21,5442.63,-119.42,3112.15,4091.31,-979.16,33.95
23,10,2020,11930.35,11957.9,11974.55,11908.75,502340,0.0028,21.8275,22.635,22.78,19.8325,-0.0357,5.844,5.898,5.898,5.844,-0.012,73.829,73.645,73.887,73.471,0.0023,39.85,40.61,40.92,39.57,268.93,-0.0194,6024.92,5117.99,906.93,3705.8,4597.66,-891.86,34.37
22,10,2020,11896.45,11892.1,11938.1,11824.45,544800,-0.0035,22.635,22.915,23.515,17.44,-0.0122,5.915,5.913,5.918,5.903,0.0005,73.66,73.68,73.808,73.519,0.001,40.64,40.04,41.02,39.71,307.49,0.0152,8325.73,7207.27,1118.46,3207.37,5227.24,-2019.87,34.27
21,10,2020,11937.65,11958.55,12018.65,11775.75,623660,0.0034,22.915,22.69,23.545,18.3775,0.0099,5.912,5.947,5.947,5.912,-0.0032,73.59,73.44,73.763,73.357,0.002,40.03,41.22,41.59,39.78,366.9,-0.0345,8448.11,6339.63,2108.48,3951.48,5585.01,-1633.53,34.40
20,10,2020,11896.8,11861,11949.25,11837.25,453560,0.002,22.69,21.8175,22.7925,18.79,0.04,5.931,5.95,5.95,5.929,-0.0015,73.44,73.342,73.558,73.295,0.0012,41.46,40.65,41.7,40.25,24.52,0.0154,6335.73,4750.66,1585.07,2928.16,4561.39,-1633.23,34.28
19,10,2020,11873.05,11879.2,11898.25,11820.4,541420,0.0094,21.8175,21.645,22.3175,15.465,0.008,5.94,5.932,5.944,5.921,0.0008,73.35,73.444,73.444,73.289,-0.0013,40.83,40.69,41.22,40.54,75.34,-0.0012,5994.22,4337.44,1656.78,3278.52,4900.25,-1621.73,34.43
16,10,2020,11762.45,11727.4,11789.75,11667.85,555770,0.007,21.645,22.0575,22.4175,20.485,-0.0187,5.935,5.944,5.944,5.91,0.0063,73.442,73.407,73.451,73.255,0.0003,40.88,40.88,41.05,40.08,96.49,-0.002,4605.47,5085.06,-479.59,2545.89,2975.7,-429.81,34.13
15,10,2020,11680.35,12023.45,12025.45,11661.3,608870,-0.0243,22.0575,20.21,22.275,19.0375,0.0914,5.898,5.911,5.911,5.888,-0.0003,73.42,73.295,73.52,73.204,0.0025,40.96,41.13,41.29,39.22,248.25,-0.0019,6544.15,7148.22,-604.07,3251.11,4059.4,-808.29,34.03
14,10,2020,11971.05,11917.4,11997.2,11822.15,569250,0.0031,20.21,20.715,20.9625,18.425,-0.0244,5.9,5.918,5.918,5.895,-0.0007,73.24,73.395,73.466,73.193,-0.0022,41.04,40.19,41.16,39.82,328.3,0.0209,7151.46,6329.6,821.86,2962.67,4238.81,-1276.14,34.87
13,10,2020,11934.5,11934.65,11988.2,11888.9,458310,0.0003,20.715,21.1275,21.65,20.525,-0.0195,5.904,5.925,5.925,5.888,0.0008,73.4,73.351,73.475,73.245,0.0005,40.2,39.53,40.53,39.35,375.47,0.0195,5797.32,4965.18,832.14,3029.17,4703.63,-1674.46,34.77
12,10,2020,11930.95,11973.55,12022.05,11867.2,522630,0.0014,21.1275,20.38,22.1,19.39,0.0367,5.899,5.945,5.945,5.889,-0.0064,73.363,73.015,73.428,73.015,0.0048,39.43,40.4,40.45,39.04,322.04,-0.0288,6100.23,5485.06,615.17,1960.27,2989.04,-1028.77,34.76
9,10,2020,11914.2,11852.05,11938.6,11805.2,611080,0.0067,20.38,20.38,21.0075,17.51,0,5.937,6.042,6.042,5.92,-0.013,73.01,73.15,73.265,72.969,-0.0038,40.6,41.31,41.47,40.38,331.7,-0.0143,6284.33,6323.72,-39.39,4154.21,4027.6,126.61,34.71
8,10,2020,11834.6,11835.4,11905.7,11791.15,608770,0.0082,20.38,20.06,20.855,18.9775,0.016,6.015,6.025,6.03,6.012,0.0002,73.29,73.33,73.381,73.185,-0.0005,41.19,39.99,41.33,39.76,409.79,0.031,6586.24,5607.87,978.37,4992.59,4972.74,19.85,34.40
7,10,2020,11738.85,11679.25,11763.05,11629.35,513370,0.0066,20.06,19.635,20.3375,19.0675,0.0216,6.014,6.032,6.032,6.008,-0.002,73.33,73.55,73.613,73.254,-0.0014,39.95,39.83,40.35,39.28,433.07,-0.0177,6044.21,4950.4,1093.81,2970.15,4099.64,-1129.49,34.12
6,10,2020,11662.4,11603.45,11680.3,11564.3,561450,0.0138,19.635,19.705,19.8925,18.36,-0.0036,6.026,6.026,6.036,6.01,0.0037,73.434,73.093,73.518,73.093,0.0044,40.67,39.35,40.86,39.1,400.53,0.037,6072.97,4971.21,1101.76,3076.87,4011.71,-934.84,33.90
5,10,2020,11503.35,11487.8,11578.05,11452.3,530600,0.0076,19.705,18.35,20.025,18.35,0.0738,6.004,6.018,6.018,5.989,0.0013,73.11,73.295,73.481,73.07,-0.0025,39.22,37,39.72,37,378.58,0.0586,5685.56,5448.85,236.71,2779.65,3251.21,-471.56,33.43
1,10,2020,11416.95,11364.45,11428.6,11347.05,447740,0.0151,18.35,19.53,19.53,17.375,-0.0604,5.996,5.965,6.006,5.965,-0.0032,73.193,73.595,73.61,73.021,-0.005,38.72,39.9,40.47,37.61,443.44,-0.0373,4708.03,3075.78,1632.25,3277.14,3017.68,259.46,33.18
30,9,2020,11247.55,11244.45,11295.4,11184.55,499340,0.0022,19.53,19.775,20.215,17.675,-0.0124,6.015,6.057,6.057,6.011,-0.0036,73.56,73.817,73.865,73.522,-0.0026,40.22,39.16,40.37,38.68,340.29,0.0237,5725.27,6437.75,-712.48,3010.51,2601.04,409.47,32.69
29,9,2020,11222.4,11288.6,11305.4,11181,498300,-0.0005,19.775,19.5725,20.1975,18.4275,0.0103,6.037,6.069,6.073,6.037,-0.0031,73.75,73.785,73.918,73.716,0,39.29,40.58,40.7,38.41,379.6,-0.0323,4346.69,5803.35,-1456.66,3244.85,2668.35,576.5,32.62
28,9,2020,11227.55,11140.85,11239.35,11099.85,472780,0.016,19.5725,20.675,21.0975,19.35,-0.0533,6.056,6.068,6.079,6.042,0.003,73.75,73.685,73.862,73.526,0.0011,40.6,40.07,40.8,39.78,226.43,0.0087,4414.51,4441.49,-26.98,3041.27,2498.93,542.34,32.63
25,9,2020,11050.25,10910.4,11072.6,10854.85,559600,0.0226,20.675,23.51,23.51,18.6675,-0.1206,6.038,6.041,6.041,6.003,0.0077,73.67,73.735,73.788,73.566,-0.0031,40.25,40.15,40.64,39.71,229.03,-0.0015,4383.11,6463.32,-2080.21,4210.84,2140.21,2070.63,32.12
24,9,2020,10805.55,11011,11015.3,10790.2,706140,-0.0293,23.51,20.99,23.8175,20.925,0.1201,5.992,6.027,6.027,5.981,0.0003,73.9,73.835,74.055,73.765,0.0045,40.31,39.6,40.37,39.12,269.99,0.0095,6301.62,8187.31,-1885.69,7839.03,7650.39,188.64,30.97
23,9,2020,11131.85,11258.75,11259.55,11024.4,714930,-0.002,20.99,21.41,22.4775,19.37,-0.0196,5.99,5.996,6.003,5.989,-0.0033,73.57,73.503,73.635,73.43,0.0008,39.93,39.76,40.75,39.26,318.75,0.0083,4190.07,8102.51,-3912.44,5186.24,3557.01,1629.23,31.91
22,9,2020,11153.65,11301.75,11302.2,11084.65,672250,-0.0086,21.41,22.1875,23.275,15.755,-0.035,6.01,6.027,6.027,5.991,-0.001,73.51,73.575,73.645,73.385,-0.0008,39.6,39.63,40.02,39,23.22,0.0074,3805.95,5878.71,-2072.76,4963.84,4084.93,878.91,31.97
