"","Price","Chg","GSECPrice","GSECChg","FXPrice","FXChg","OilPrice","OilChg","Nifty_PE","Nifty.Vol","VIXChg","VIXPrice","FII_BUY","FII_SELL","DII_BUY","DII_SELL"
"1",14371.9,-0.015,5.939,-0.0029,72.98,3e-04,52.27,-0.0162,38.86,13.5628738272553,0.0109,0.0445980599843907,9.0272309048624,9.10080002185747,8.48878342877577,8.72425614009864
"2",14590.35,-0.0037,5.956,0.0024,72.96,7e-04,53.13,-0.0021,39.41,13.4654565046197,0.0292,0.0450856627592426,9.11649661644602,8.92126933536013,8.52785020320467,8.71490405635302
"3",14644.7,0.0085,5.942,0.001,72.91,-0.0038,53.24,0.0049,39.55,13.3424141510083,-0.0588,0.0464037122969838,8.94914312627731,8.59641833420543,8.53399720972781,8.69103724887467
"4",14521.15,0.0168,5.936,-0.0035,73.19,1e-04,52.98,0.0118,39.22,13.2105756996371,-0.0614,0.0436728900534993,8.81223461727381,8.77313069457717,8.54605466320076,8.58404964906213
"5",14281.3,-0.0106,5.957,-0.0052,73.181,8e-04,52.36,0.0031,38.92,13.5437543267294,0.016,0.0409920065587211,8.96798469398598,8.88144317218201,8.75952113974598,8.76617133715762
"6",14433.7,-0.0111,5.988,0.0108,73.12,7e-04,52.36,-0.0226,39.34,13.5792311072569,0.0427,0.041649312786339,8.88748835757487,8.74349176042375,8.49985779799391,8.6752459624592
"7",14595.6,0.0021,5.924,-0.0039,73.07,-0.0012,53.57,0.0125,40.03,13.3377972856485,-0.0114,0.0434263380740419,9.22773520089019,9.11590331089275,8.66091251042825,8.69297675537044
"8",14564.85,1e-04,5.947,0.0027,73.16,-8e-04,52.91,-0.0056,39.94,13.680789887,0.0195,0.042932274337233,9.23635601141945,9.03414123486342,8.66167441522701,9.00545045476975
"9",14563.45,0.0054,5.931,0.0012,73.22,-0.0032,53.21,0.0184,39.94,13.7424773926141,0.0208,0.0437684648210964,9.14364699747551,9.0806131628328,8.62274348906432,8.8379874540799
"10",14484.75,0.0096,5.924,0.0054,73.455,0.0017,52.25,2e-04,39.72,13.4193222866363,0.0844,0.0446777616441416,9.17495047187997,8.78161533699317,8.41113243064402,8.86883267869602
"11",14347.25,0.0148,5.892,0,73.33,-0.0012,52.24,0.0277,39.45,13.326886642182,0.0012,0.0484496124031008,9.48578638829394,8.87365711309134,8.47484920592177,8.87699683586319
"12",14137.35,-6e-04,5.892,-3e-04,73.42,0.0041,50.83,0.004,38.88,13.234208820394,-0.0181,0.0485083676934271,9.04567443342072,8.99955390642099,8.4796408457636,8.66651279177735
"13",14146.25,-0.0038,5.894,0.0075,73.118,0,50.63,0.014,38.9,13.3571508741016,0.0261,0.0476303881876637,8.81481767389774,8.88418354807249,8.64576932700857,8.71052886947329
"14",14199.5,0.0047,5.85,-0.0014,73.12,7e-04,49.93,0.0485,39.05,13.1072091296327,0.0215,0.0488758553274682,8.85928532110017,8.70833407668492,8.5354259596773,8.6273077884996
"15",14132.9,0.0082,5.858,-0.0068,73.07,-7e-04,47.62,-0.0185,38.87,13.1123130415508,0.024,0.0499251123315027,8.58132600526574,8.15706945006374,8.42848656011285,8.57372096199808
"16",14018.5,0.0026,5.898,7e-04,73.12,0.0011,48.07,-0.008,38.55,12.4610636402835,-0.0728,0.0511247443762781,6.97778494614399,6.33917694717132,7.82631144282642,7.7982234601262
"17",13981.75,0,5.894,-8e-04,73.036,-0.0012,48.52,0.0025,38.45,13.0223441273123,-7e-04,0.0474045982460299,8.83277881343926,8.65167513212675,8.34515379160319,8.40455514756151
"18",13981.95,0.0035,5.899,-0.0047,73.127,-0.0036,48.4,0.0083,38.45,12.8497144061863,0.0154,0.0473709142586452,8.58403468367893,8.16653155979174,8.12338883175086,8.28396395008822
"19",13932.6,0.0043,5.927,3e-04,73.39,-0.0021,48,0.008,38.31,12.9935977533002,0.0177,0.0481000481000481,8.59909939247617,8.0317883703304,7.77769626643872,8.38873917279932
"20",13873.2,0.009,5.925,-7e-04,73.546,1e-04,47.62,-0.0126,38.15,12.90825389572,0.023,0.0489536164484151,8.14794525187235,7.53227023729909,7.90620463225085,8.31889346077208
"21",13749.25,0.0109,5.929,-0.0035,73.54,-0.0031,48.23,0.0023,37.81,13.0633986272384,-0.0257,0.05008138224615,8.57852156554092,8.31643471432361,8.14793078530531,8.58562537241232
"22",13601.1,0.01,5.95,-2e-04,73.77,-0.0011,48.12,0.0234,37.4,13.0360426709378,-0.0678,0.0487923883874116,8.58777466706981,8.48250443342323,8.30416579878916,8.58813429719503
"23",13466.3,0.0103,5.951,-0.001,73.851,-0.0024,47.02,-0.0151,37.03,13.4533922543595,-0.052,0.0454855583352286,8.79731122854556,8.60583207662891,8.55741148374499,8.67704757416017
"24",13328.4,-0.0314,5.957,-3e-04,74.026,0.0062,47.74,-0.0277,36.65,13.4404679566674,0.2453,0.043122035360069,8.79417774894234,8.84206699695575,8.69092126309204,8.6056691620315
"25",13760.55,0.0014,5.959,0.0012,73.57,7e-04,49.1,0.0153,37.84,13.1604103250412,-0.0279,0.0536984830178548,9.59217445381177,9.38670589342031,8.34867039235628,8.80224731383015
"26",13740.7,0.0042,5.952,0.0013,73.52,-0.0015,48.36,0.0113,37.79,12.938464577416,-0.0022,0.0521988777241289,9.06060758553746,8.74099732449826,8.0474199356325,8.63410117766187
"27",13682.7,0.0085,5.944,5e-04,73.63,0.001,47.82,0.0042,37.63,13.0436447926929,-0.0075,0.0520833333333333,9.013026591321,8.73673988177479,8.2291510541489,8.6065035902953
