Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL,Nifty_PE
0.0085,19.1575,19.2,21.6225,14.0525,-0.0022,5.952,5.955,5.955,5.938,0.0013,73.52,73.6,73.635,73.372,-0.0015,48.36,47.85,48.59,47.81,0.0113,8609.38,6254.13,3125.72,5620.08,37.79
7.00E-04,19.2,19.345,19.3975,18.6075,-0.0075,5.944,5.948,5.953,5.94,5.00E-04,73.63,73.532,73.66,73.459,0.001,47.82,47.6,47.94,47.17,0.0042,8209.33,6227.56,3748.65,5467.1,37.63
0.0033,19.345,19.4025,19.8275,15.6925,-0.003,5.941,5.926,5.949,5.923,-8.00E-04,73.556,73.674,73.685,73.542,-0.001,47.62,46.99,47.73,46.54,0.0134,8612.92,6128.83,3564.69,6231.48,37.31
0.0026,19.4025,18.79,19.6425,15.3275,0.0326,5.946,5.97,5.97,5.935,-0.0017,73.63,73.738,73.738,73.45,-0.0014,46.99,46.73,47.44,45.69,0.009,7589.88,5325.5,3813.97,5535.08,37.28
-0.0038,18.79,18.7125,19.285,17.3625,0.0041,5.956,5.943,5.96,5.92,0.0068,73.736,73.73,73.817,73.535,-1.00E-04,46.57,46.97,47.29,46.34,-0.0045,10402.09,6206.66,3726.16,6085.16,37.16
0.0102,18.7125,18.92,19.385,17.4225,-0.011,5.916,5.913,5.918,5.898,-2.00E-04,73.74,73.73,73.782,73.625,3.00E-04,46.78,45.69,47.74,45.52,0.0277,7663.53,5403.55,3390.71,5665.93,37.06
0.0028,18.92,18.6175,19.63,16.22,0.0162,5.917,5.947,5.951,5.907,-0.0037,73.72,73.712,73.73,73.515,0,45.52,45.6,46.24,44.95,-0.0018,9574.48,6010.25,3834.91,6328.01,37.2
0.0073,18.6175,18.025,18.795,16.2675,0.0329,5.939,5.932,5.942,5.918,0.0025,73.72,73.81,73.846,73.511,-0.0014,45.6,45.66,45.93,45.14,-0.0035,8473.34,5563.74,3912.38,6553.31,36.83
0.0095,18.025,18.0275,18.315,16.95,-1.00E-04,5.924,5.908,5.929,5.906,0.0046,73.826,73.805,73.977,73.69,9.00E-04,45.76,46.15,46.54,45.36,-0.0108,8796.14,5004.08,4287.14,7054.23,36.73
0.0015,18.0275,19,19.035,16.53,-0.0512,5.897,5.933,5.933,5.888,-0.0059,73.757,73.865,73.865,73.647,-0.0014,46.26,45.64,46.68,45.61,0.0136,9863.79,6894.2,4062.46,6034.06,36.46
