,Price,Open,High,Low,Nifty.Vol,Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,FII_NET,DII_BUY,DII_SELL,DII_NET,Nifty_PE
18,13981.95,13980.9,13997,13864.95,380680,0.0035,21.11,20.79,21.5875,20.79,0.0154,5.899,5.933,5.933,5.899,-0.0047,73.127,73.37,73.398,73.135,-0.0036,48.4,48.13,48.66,47.61,0.0083,5345.63,3521.11,1824.52,3372.43,3959.86,-587.43,38.45
19,13932.6,13910.35,13967.6,13859.9,439590,0.0043,20.79,20.4275,21.2125,17.6275,0.0177,5.927,5.935,5.935,5.924,3.00E-04,73.39,73.545,73.545,73.313,-0.0021,48,47.72,48.35,47.68,0.008,5426.77,3077.24,2349.53,2386.77,4397.27,-2010.5,38.31
20,13873.2,13815.15,13885.3,13811.55,403630,0.009,20.4275,19.9675,21.0225,18.5975,0.023,5.925,5.918,5.928,5.918,-7.00E-04,73.546,73.558,73.613,73.457,1.00E-04,47.62,48.23,48.96,47.5,-0.0126,3456.27,1867.34,1588.93,2714.07,4100.62,-1386.55,38.15
21,13749.25,13672.15,13771.75,13626.9,471370,0.0109,19.9675,20.495,20.9525,15.645,-0.0257,5.929,5.973,5.981,5.929,-0.0035,73.54,73.8,73.84,73.506,-0.0031,48.23,48.09,48.62,47.56,0.0023,5316.24,4090.55,1225.69,3456.22,5354.14,-1897.92,37.81
22,13601.1,13473.5,13619.45,13432.2,458650,0.01,20.495,21.985,22.0825,19.395,-0.0678,5.95,5.951,5.953,5.944,-2.00E-04,73.77,73.905,73.905,73.654,-0.0011,48.12,46.79,48.5,46.16,0.0234,5365.66,4829.53,536.13,4040.67,5367.59,-1326.92,37.4
23,13466.3,13373.65,13492.05,13192.9,696200,0.0103,21.985,23.19,24.48,16.5925,-0.052,5.951,5.966,5.966,5.939,-0.001,73.851,73.94,73.95,73.802,-0.0024,47.02,47.93,47.96,46.6,-0.0151,6616.43,5463.43,1153,5205.19,5866.7,-661.51,37.03
24,13328.4,13741.9,13777.5,13131.45,687260,-0.0314,23.19,18.6225,23.68,18.6225,0.2453,5.957,5.962,5.974,5.952,-3.00E-04,74.026,73.575,74.104,73.575,0.0062,47.74,48.54,48.61,46.18,-0.0277,6595.73,6919.28,-323.55,5948.66,5462.54,486.12,36.65
25,13760.55,13764.4,13772.85,13658.6,519390,0.0014,18.6225,19.1575,19.4925,14.555,-0.0279,5.959,5.952,5.979,5.95,0.0012,73.57,73.53,73.588,73.475,7.00E-04,49.1,48.43,49.28,48.1,0.0153,14649.69,11928.74,2720.95,4224.56,6649.17,-2424.61,37.84
26,13740.7,13713.55,13773.25,13673.55,416010,0.0042,19.1575,19.2,21.6225,14.0525,-0.0022,5.952,5.955,5.955,5.938,0.0013,73.52,73.6,73.635,73.372,-0.0015,48.36,47.85,48.59,47.81,0.0113,8609.38,6254.13,2355.25,3125.72,5620.08,-2494.36,37.79
27,13682.7,13663.1,13692.35,13606.45,462150,0.0085,19.2,19.345,19.3975,18.6075,-0.0075,5.944,5.948,5.953,5.94,5.00E-04,73.63,73.532,73.66,73.459,0.001,47.82,47.6,47.94,47.17,0.0042,8209.33,6227.56,1981.77,3748.65,5467.1,-1718.45,37.63
28,13567.85,13547.2,13589.65,13447.05,497600,7.00E-04,19.345,19.4025,19.8275,15.6925,-0.003,5.941,5.926,5.949,5.923,-8.00E-04,73.556,73.674,73.685,73.542,-0.001,47.62,46.99,47.73,46.54,0.0134,8612.92,6128.83,2484.09,3564.69,6231.48,-2666.79,37.31
29,13558.15,13571.45,13597.5,13472.45,558390,0.0033,19.4025,18.79,19.6425,15.3275,0.0326,5.946,5.97,5.97,5.935,-0.0017,73.63,73.738,73.738,73.45,-0.0014,46.99,46.73,47.44,45.69,0.009,7589.88,5325.5,2264.38,3813.97,5535.08,-1721.11,37.28
30,13513.85,13512.3,13579.35,13402.85,787710,0.0026,18.79,18.7125,19.285,17.3625,0.0041,5.956,5.943,5.96,5.92,0.0068,73.736,73.73,73.817,73.535,-1.00E-04,46.57,46.97,47.29,46.34,-0.0045,10402.09,6206.66,4195.43,3726.16,6085.16,-2359,37.16
31,13478.3,13488.5,13503.55,13399.3,553400,-0.0038,18.7125,18.92,19.385,17.4225,-0.011,5.916,5.913,5.918,5.898,-2.00E-04,73.74,73.73,73.782,73.625,3.00E-04,46.78,45.69,47.74,45.52,0.0277,7663.53,5403.55,2259.98,3390.71,5665.93,-2275.22,37.06
32,13529.1,13458.1,13548.9,13449.6,502610,0.0102,18.92,18.6175,19.63,16.22,0.0162,5.917,5.947,5.951,5.907,-0.0037,73.72,73.712,73.73,73.515,0,45.52,45.6,46.24,44.95,-0.0018,9574.48,6010.25,3564.23,3834.91,6328.01,-2493.1,37.2
33,13392.95,13393.85,13435.45,13311.05,543170,0.0028,18.6175,18.025,18.795,16.2675,0.0329,5.939,5.932,5.942,5.918,0.0025,73.72,73.81,73.846,73.511,-0.0014,45.6,45.66,45.93,45.14,-0.0035,8473.34,5563.74,2909.6,3912.38,6553.31,-2640.93,36.83
34,13355.75,13264.85,13366.65,13241.95,591720,0.0073,18.025,18.0275,18.315,16.95,-1.00E-04,5.924,5.908,5.929,5.906,0.0046,73.826,73.805,73.977,73.69,9.00E-04,45.76,46.15,46.54,45.36,-0.0108,8796.14,5004.08,3792.06,4287.14,7054.23,-2767.09,36.73
35,13258.55,13177.4,13280.05,13152.85,640510,0.0095,18.0275,19,19.035,16.53,-0.0512,5.897,5.933,5.933,5.888,-0.0059,73.757,73.865,73.865,73.647,-0.0014,46.26,45.64,46.68,45.61,0.0136,9863.79,6894.2,2969.59,4062.46,6034.06,-1971.6,36.46
