NFOpen,NFChg,FXOpen,FXChg,OilOpen,OilChg,GsecOpen,GsecChange,GoldOpen,GoldChg,VIXOpen,VIXChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL
9893.3,0.0559,65.6,-0.0087,51.64,0.0524,6.67,0.0299,1353.3,-0.0073,12.49,-0.0036,103827.67,111654.2,74713.94,64623.03
9937.7,-0.013,63.93,0.0215,47.08,0.094,6.49,0.0211,1406.6,-0.0223,11.95,0.0446,95431.19,119401.16,79160.5,58134.97
10101.1,-0.0158,64.11,-0.0037,50.21,-0.0586,6.47,0.0093,1326.4,0.0357,11.9,0.0044,95588.51,111584.14,70219.04,54013.82
9588.0,0.0584,64.66,-0.0069,46.28,0.0897,6.61,-0.0071,1289.9,0.0203,11.73,0.0143,104497.69,103032.84,67911.76,63125.39
9603.6,-0.0104,64.49,0.0017,48.63,-0.0472,6.65,-0.0225,1342.8,-0.0256,11.76,-0.0026,99619.25,103670.68,60330.87,53654.76
9339.9,0.0341,64.29,0.0037,49.17,-0.0205,6.97,-0.0431,1326.9,0.001,10.86,0.0831,123004.66,123457.2,69117.29,64840.23
9220.6,0.0142,64.81,-0.0089,50.69,-0.0251,6.66,0.0455,1333.1,0.013,12.42,-0.1256,81594.59,88222.15,60188.82,50941.39
8904.4,0.0331,66.72,-0.0277,53.95,-0.0631,6.9,-0.0309,1307.6,-0.0034,13.79,-0.0995,153101.24,126628.07,65535.41,69931.02
8570.4,0.0372,67.66,-0.0117,52.76,0.0227,6.4,0.0723,1289,0.0329,16.83,-0.1802,107722.25,99017.79,61116.21,60180.95
8210.1,0.0459,67.96,-0.0067,54.2,-0.0169,6.48,-0.0161,1232.4,0.0464,15.47,0.0879,76909.72,78811.04,50855.74,46351.8
8244.0,-0.0047,68.6,-0.0094,49.07,0.0866,6.26,0.0431,1236.7,-0.0031,16.85,-0.0822,74545.48,85870.76,42473.11,33337.02
8653.2,-0.0465,66.69,0.0287,46.77,0.0551,6.87,-0.0932,1334,-0.0715,15.49,0.0878,110863.2,130845.57,66379.78,48102.75
8666.2,0.0017,66.56,0.0019,48.04,-0.0286,6.96,-0.0105,1333.7,-0.0268,17.18,-0.0984,72661.2,78431.39,45294.51,37388.16
8793.6,-0.0199,66.96,-0.0062,44.85,0.0792,7.1,-0.0214,1386.7,0.0018,13.24,0.2973,101165.89,97836.27,51440.2,49440.98
8654.3,0.0171,66.72,0.005,41.35,0.0745,7.14,-0.0074,1409.9,-0.0338,14.92,-0.1123,110195.16,101416.89,45174.03,49580.34
8313.1,0.0423,67.51,-0.0128,48.38,-0.1393,7.44,-0.0383,1402.8,0.0296,16.29,-0.0843,91989.79,81867.1,38640.08,44694.68
8179.2,0.0156,67.21,0.0044,48.82,-0.0157,7.47,-0.0031,1375,0.0833,16.05,0.0153,89373.04,85415.09,35927.95,38101.5
7822.7,0.0395,66.43,0.0118,45.9,0.0693,7.44,0.0048,1269.3,-0.0537,16.54,-0.0298,97116.2,97077.81,38877.32,32119.24
7718.1,0.0144,66.36,0.0025,38.14,0.1977,7.45,-0.0032,1341.4,0.0472,16.58,-0.0027,69963.65,67027.37,24467.25,27021.61
7038.3,0.1075,68.21,-0.0286,33.9,0.136,7.63,-0.0215,1304,0.006,20.16,-0.1774,108002.95,83801.44,31576.15,48468.05
7589.5,-0.0762,67.88,0.0049,33.83,0.0039,7.79,-0.0201,1220.4,0.0959,17.24,0.1692,74262.92,86776.04,40129.01,29637.4
7938.5,-0.0482,66.21,0.0252,37.6,-0.0923,7.75,0.0027,1161.9,0.0365,13.87,0.243,71491.92,85847.93,43075.94,30201.04
7958.2,0.0014,66.46,-0.0038,41.73,-0.1107,7.79,-0.0036,1121,-0.0026,16.43,-0.1558,69530.14,71890.16,37088.08,30760.44
8054.6,-0.0162,65.41,0.0159,46.43,-0.106,7.64,0.0191,1131,-0.0597,17.88,-0.0811,75013.31,84043.12,33828.14,25328.16
7992.1,0.0147,65.52,-0.0014,45.38,0.0333,7.53,0.0134,1195.2,0.0098,19.63,-0.0889,77250.13,74223.47,32159.62,33678.48
7908.0,-0.0028,66.4,-0.0135,48.1,-0.0835,7.79,-0.0315,1188.4,-0.0274,24.6,-0.2021,81805.27,93084.59,39091.63,28818.57
8510.7,-0.0658,64,0.0379,46.86,0.0441,7.79,-0.0028,1216.9,0.0286,14.57,0.6881,95879.11,115651.18,48145.48,31707.95
8376.3,0.0196,63.61,0.006,58.98,-0.2077,7.87,-0.007,1268.5,-0.069,16.93,-0.1393,87724.15,85426.1,35163.76,35091.45
8417.3,-0.0077,63.73,-0.0022,60.29,-0.0138,7.82,0.0059,1264,-0.0077,16.66,0.0162,88687.39,96880.31,41851.78,29825.23
